"filename", "language", "HTML", "CSS", "JavaScript", "JSON", "Firebase Rules", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\all css\bootstrap.min.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 6, 2, 12
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\all css\mdb-pro.min.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 27, 0, 33
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\all css\mdb.ecommerce.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 9, 2, 12
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\payment.css", "CSS", 0, 178, 0, 0, 0, 0, 0, 8, 38, 224
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\payment.html", "HTML", 219, 0, 0, 0, 0, 0, 0, 152, 54, 425
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\payment\payment.js", "JavaScript", 0, 0, 160, 0, 0, 0, 0, 125, 64, 349
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\product.html", "HTML", 364, 0, 0, 0, 0, 0, 0, 2, 30, 396
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\products\products.css", "CSS", 0, 405, 0, 0, 0, 0, 0, 38, 78, 521
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\products\products.html", "HTML", 573, 0, 0, 0, 0, 0, 0, 120, 167, 860
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\rufe.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 59, 0, 59
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\ryzen.html", "HTML", 217, 0, 0, 0, 0, 0, 0, 8, 21, 246
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\searchbar.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 33, 10, 115
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\security\refund policy.html", "HTML", 171, 0, 0, 0, 0, 0, 0, 33, 17, 221
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\security\terams.css", "CSS", 0, 716, 0, 0, 0, 0, 0, 52, 152, 920
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\security\terms and condition.html", "HTML", 433, 0, 0, 0, 0, 0, 0, 33, 57, 523
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\style.css", "CSS", 0, 2572, 0, 0, 0, 0, 0, 222, 492, 3286
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\style1.css", "CSS", 0, 713, 0, 0, 0, 0, 0, 15, 164, 892
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try.css", "CSS", 0, 91, 0, 0, 0, 0, 0, 0, 16, 107
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try.html", "HTML", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try.js", "JavaScript", 0, 0, 113, 0, 0, 0, 0, 42, 29, 184
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try2.css", "CSS", 0, 191, 0, 0, 0, 0, 0, 5, 15, 211
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\try2.html", "HTML", 17, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\digan\Downloads\Petziee.com\dev\Petziee\shopingweb\tryle.css", "CSS", 0, 57, 0, 0, 0, 0, 0, 0, 9, 66
"Total", "-", 23267, 15967, 8895, 3084, 11, 115, 29, 8693, 9458, 69519
